Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count
Wii Sports,2006.0,41.36,28.96,3.77,8.45,82.53,322.0
Super Mario Bros.,1985.0,29.08,3.58,6.81,0.77,40.24,24.0
Mario Kart Wii,2008.0,15.68,12.76,3.79,3.29,35.52,709.0
Wii Sports Resort,2009.0,15.61,10.93,3.28,2.95,32.77,192.0
Pokemon Red/Pokemon Blue,1996.0,11.27,8.89,10.22,1.0,31.37,24.0
Tetris,1989.0,23.2,2.26,4.22,0.58,30.26,24.0
New Super Mario Bros.,2006.0,11.28,9.14,6.5,2.88,29.8,431.0
Wii Play,2006.0,13.96,9.18,2.93,2.84,28.92,129.0
New Super Mario Bros. Wii,2009.0,14.44,6.94,4.7,2.24,28.32,594.0
Duck Hunt,1984.0,26.93,0.63,0.28,0.47,28.31,24.0
Nintendogs,2005.0,9.05,10.95,1.93,2.74,24.67,24.0
Mario Kart DS,2005.0,9.71,7.47,4.13,1.9,23.21,464.0
Pokemon Gold/Pokemon Silver,1999.0,9.0,6.18,7.2,0.71,23.1,24.0
Wii Fit,2007.0,8.92,8.03,3.6,2.15,22.7,146.0
Kinect Adventures!,2010.0,15.0,4.89,0.24,1.69,21.81,106.0
Wii Fit Plus,2009.0,9.01,8.49,2.53,1.77,21.79,52.0
Grand Theft Auto V,2013.0,7.02,9.09,0.98,3.96,21.04,3994.0
Grand Theft Auto: San Andreas,2004.0,9.43,0.4,0.41,10.57,20.81,1588.0
Super Mario World,1990.0,12.78,3.75,3.54,0.55,20.61,24.0
Brain Age: Train Your Brain in Minutes a Day,2005.0,4.74,9.2,4.16,2.04,20.15,50.0
Pokemon Diamond/Pokemon Pearl,2006.0,6.38,4.46,6.04,1.36,18.25,24.0
Super Mario Land,1989.0,10.83,2.71,4.18,0.42,18.14,24.0
Super Mario Bros. 3,1988.0,9.54,3.44,3.84,0.46,17.28,24.0
Grand Theft Auto V,2013.0,9.66,5.14,0.06,1.41,16.27,3711.0
Grand Theft Auto: Vice City,2002.0,8.41,5.49,0.47,1.78,16.15,730.0
Pokemon Ruby/Pokemon Sapphire,2002.0,6.06,3.9,5.38,0.5,15.85,24.0
Brain Age 2: More Training in Minutes a Day,2005.0,3.43,5.35,5.32,1.18,15.29,19.0
Pokemon Black/Pokemon White,2010.0,5.51,3.17,5.65,0.8,15.14,24.0
Gran Turismo 3: A-Spec,2001.0,6.85,5.09,1.87,1.16,14.98,314.0
Call of Duty: Modern Warfare 3,2011.0,9.04,4.24,0.13,1.32,14.73,8713.0
Pokémon Yellow: Special Pikachu Edition,1998.0,5.89,5.04,3.12,0.59,14.64,24.0
Call of Duty: Black Ops 3,2015.0,6.03,5.86,0.36,2.38,14.63,24.0
